ID,Date,pm10_mean,pm25_mean,pm10_max,pm25_max,pm10_min,pm25_min
0,2020-02-28,3.490241111111111,3.6766982857142856,5.96033,10.287,0.239,0.996334
1,2020-02-29,36.6845790375,20.962429369642866,990.0,985.0,0.0390002,0.0
2,2020-03-01,10.849456666666667,210.5904677777778,56.0,985.0,2.94617,0.0
3,2020-03-02,9.283149672131149,182.13047540983604,19.1267,985.0,4.28883,0.2625
4,2020-03-03,11.530879821428572,7.352885789473685,59.0,42.0,1.74633,1.0
5,2020-03-04,2.715239506122449,2.7242930428571435,21.3678,20.625,0.0894998,0.0
6,2020-03-05,5.414337239583333,4.286278028985507,27.0,20.0,0.0,0.0
7,2020-03-06,5.767993037037036,5.58101213114754,17.0,20.1083,0.145333,0.116
8,2020-03-07,10.823919499999999,13.322206260869565,51.0,109.0,0.196667,0.417
9,2020-03-08,29.532261063829793,26.32883083333333,99.0,95.0,3.828,0.0
10,2020-03-09,11.539380444444443,11.817051104166666,30.0,43.0,1.0,0.0
11,2020-03-10,10.486766595744683,11.315874375000002,45.0,55.0,0.4325,0.145167
12,2020-03-11,8.2048158,6.787479789473684,27.0,39.0,0.0,0.0
13,2020-03-12,16.145304549295773,12.992778888888886,113.0,99.0,0.407833,0.0
14,2020-03-13,4.023294347826088,4.256699819444443,13.4134,16.79,0.120834,0.0
15,2020-03-14,5.842984683018868,6.114858887323945,28.0,29.0,0.0,0.0
16,2020-03-15,13.747796620312497,6.858574069444446,69.0,31.0,0.0786667,0.0
17,2020-03-16,6.539634920634919,3.696335999999999,18.1133,13.3872,0.0,0.0
18,2020-03-17,15.184175999999995,4.771033152777779,46.088,25.665,0.894834,0.0
19,2020-03-18,4.004715291666668,3.1187390694444446,9.79668,11.426,0.217001,0.0
20,2020-03-19,10.030081075757577,8.378316995833336,64.0,62.0,0.2646,0.0
21,2020-03-20,5.317164782608696,19.47578821875,13.5168,985.0,1.0,0.0
22,2020-03-21,4.646534102941177,4.0601764696969695,23.6713,22.4583,0.357666,0.0
23,2020-03-22,6.189188524590164,3.3940239161764696,28.4317,14.5917,0.0,0.0
24,2020-03-23,11.819230000000001,6.70846,26.605,21.9917,2.896,0.0
25,2020-03-24,10.117367076923077,19.478418819117653,28.5,985.0,4.383,0.0
26,2020-03-25,7.814518571428572,4.066178028985506,26.0,19.4362,2.0,0.0
27,2020-03-26,7.767911176470589,4.820181212121211,36.015,24.9,2.307,0.0
28,2020-03-27,12.359241449275363,7.667978194444444,76.0,62.0,4.15334,0.140167
29,2020-03-28,16.90045042253522,9.911387360694443,66.0,57.0,2.23283,0.0
30,2020-03-29,12.514160081081082,4.866588689189189,27.8567,17.67,0.528166,0.0
31,2020-03-30,21.58317361111112,8.529161986111113,54.0,41.0,10.32,0.0
32,2020-03-31,136.66183768115945,9.391274305555557,990.0,27.145,0.0,1.0
33,2020-04-01,195.14768323943662,15.031185555555554,990.0,134.0,3.88433,0.0
34,2020-04-02,11.367340845070423,8.60994323611111,33.0,30.0,2.9455,0.630834
35,2020-04-03,17.33216027777777,17.244524448611106,94.0,81.0,2.6965,0.0363333
36,2020-04-04,38.33244083333331,56.339185972222225,294.0,580.0,3.775,2.591
37,2020-04-05,5.985236608695653,3.243017042253521,27.5033,10.8632,0.0,0.0
38,2020-04-06,8.313038971014493,5.8715632796875,36.3134,24.0,0.0,0.0
39,2020-04-07,9.435950312500001,5.341289985507247,23.8688,23.1475,0.109,0.0
40,2020-04-08,16.031164571428572,13.958999916666663,85.0,77.0,2.17233,0.0
41,2020-04-09,9.438234617647055,6.075469657142855,44.0,31.0,0.487334,0.0
42,2020-04-10,2.9031994714285716,2.4656196166666664,30.0,8.72183,0.0,0.0
43,2020-04-11,8.02489934375,8.044265815384614,41.0,53.0,0.639833,0.0
44,2020-04-12,4.620930409090907,4.477861303030304,23.0,12.9133,0.267834,0.0
45,2020-04-13,8.255214971014489,4.865398164179104,31.0,18.4033,0.0,0.0
46,2020-04-14,26.862201111111105,19.060970277777773,71.0,94.0,6.16667,1.713
47,2020-04-15,20.23951197183097,10.907309915492958,55.0,58.0,2.77467,0.0
48,2020-04-16,13.68454925925926,5.935331259259259,32.0,19.41,6.61,0.930834
49,2020-04-17,5.0796133333333335,3.075178666666667,7.49334,4.20783,1.858,1.05767
50,2020-04-20,12.371963555555556,7.064418085106383,34.4783,17.713,2.0,0.054
51,2020-04-21,11.634307931034488,5.522382786885245,34.7466,15.7583,0.0,0.0
52,2020-04-22,8.909030990625002,5.693221413636364,41.0,45.0,0.0528334,0.0
53,2020-04-23,6.019409741935482,3.113404116666667,22.0,13.5912,0.993834,0.0
54,2020-04-24,11.734747500000003,4.751270117647059,42.0,13.069,0.936,0.0
55,2020-04-25,8.827834166666667,9.378929999999999,25.0,24.0,1.68133,1.22833
56,2020-04-26,6.836736836363638,6.820071938333334,52.0,42.0,0.607668,0.0
57,2020-04-27,12.630359743589747,9.856115979166669,36.0,32.0,1.914,0.0
